imdb_title_id,original_title,year,date_published,genre,duration,language,description,reviews_from_users,reviews_from_critics
9,Miss Jerry,1894,1894-10-09,Romance,45,None,The adventures of a female reporter in the 1890s.,1,2
574,The Story of the Kelly Gang,1906,1906-12-26,"Biography, Crime, Drama",70,None,True story of notorious Australian outlaw Ned Kelly (1855-80).,7,7
1892,Den sorte drøm,1911,1911-08-19,Drama,53,None,"Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",5,2
2101,Cleopatra,1912,1912-11-13,"Drama, History",100,English,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,25,3
2130,L'Inferno,1911,1911-03-06,"Adventure, Drama, Fantasy",68,Italian,Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,31,14
2423,Madame DuBarry,1919,1919-11-26,"Biography, Drama, Romance",85,German,"The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",12,9
2445,Quo Vadis?,1913,1913-03-01,"Drama, History",120,Italian,"An epic Italian film ""Quo Vadis"" influenced many of the later movies.",7,5
2452,Independenta Romaniei,1912,1912-09-01,"History, War",120,None,The movie depicts the Romanian War of Independence (1877-1878).,4,1
2461,Richard III,1912,1912-10-15,Drama,55,English,Richard of Gloucester uses manipulation and murder to gain the English throne.,8,1
2646,Atlantis,1913,1913-12-26,Drama,121,Danish,"After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",9,9
2844,Fantômas - À l'ombre de la guillotine,1913,1913-05-12,"Crime, Drama",54,French,Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,9,28
3014,Ingeborg Holm,1913,1915-10-18,Drama,96,None,Single mother is separated from her children due to financial struggles.,16,7
3037,Juve contre Fantômas,1913,1913-09-08,"Crime, Drama",61,French,"In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.",8,23
3102,Ma l'amor mio non muore...,1914,1914-01-01,Drama,90,Italian,"Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ...",,4
3131,Maudite soit la guerre,1914,1914-05-01,"Drama, War",50,French,"An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",2,2
3165,Le mort qui tue,1913,1913-11-06,"Crime, Drama, Mystery",90,French,"After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",6,18
3167,"Home, Sweet Home",1914,1914-05-17,Drama,55,English,"John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",6,
3419,Der Student von Prag,1913,1913-08-22,"Drama, Fantasy, Horror",85,German,"Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...",20,26
3471,Traffic in Souls,1913,1913-11-24,"Crime, Drama",88,English,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",14,11
3489,Gli ultimi giorni di Pompei,1913,1913-08-24,"Adventure, Drama",88,Italian,Two love triangles intersect in ancient Pompei.,13,7
3637,Assunta Spina,1915,1916-05-01,Drama,72,None,Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,7,2
3643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,1914-08-24,"Crime, Drama, Horror",78,English,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",14,11
3657,The Bargain,1914,1914-12-03,Western,70,English,"After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",8,3
3740,Cabiria,1914,1914-04-18,"Adventure, Drama, History",148,Italian,"Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.",31,26
3772,Cinderella,1914,1914-12-28,"Fantasy, Drama",52,English,"Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",10,3
3883,L'enfant de Paris,1913,1913-09-17,"Crime, Drama",124,French,"The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kind-hearted employee of one of his accomplices sets off in pursuit.",7,4
3930,Fantômas contre Fantômas,1914,1914-01-10,"Crime, Drama",59,French,"The mystery of the drama is the appearance of the finger-print of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ...",5,18
3973,A Florida Enchantment,1914,1916-09-04,Comedy,63,English,"A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins.",6,3
4026,Der Golem,1915,1915-04-08,Horror,60,German,"In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,...",5,
4066,Det hemmelighedsfulde X,1914,1914-03-23,"Drama, Mystery",84,Danish,"On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.",7,4
4099,"His Majesty, the Scarecrow of Oz",1914,1914-10-14,"Family, Fantasy, Adventure",59,English,"A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...",11,7
4134,Hypocrites,1915,1915-01-20,Drama,54,English,"The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.",41,9
4150,In the Land of the Head Hunters,1914,1914-12-07,"Drama, History",65,English,"In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ...",8,11
4181,Judith of Bethulia,1914,1914-03-08,Drama,61,English,"A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.",16,9
4457,The Patchwork Girl of Oz,1914,1914-09-28,"Adventure, Family, Fantasy",81,English,"Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr....",16,5
4465,The Perils of Pauline,1914,1914-03-23,"Action, Adventure, Drama",199,English,"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",5,8
4635,The Squaw Man,1914,1914-02-15,"Action, Drama, Romance",74,English,A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.,8,3
4681,Tess of the Storm Country,1914,1914-03-30,Drama,80,English,"A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.",5,3
4707,Tillie's Punctured Romance,1914,1914-12-21,Comedy,82,English,A con man from the city dupes a wealthy country girl into marriage.,38,18
4712,A tolonc,1915,1915-03-20,Drama,67,Hungarian,"Betty (Lili Berky, Duel For Nothing), a young woman living in the country, is told by her dying father that he is really her uncle and raised her as his own when her mother was sent to ...",1,9
4743,Uncle Tom's Cabin,1914,1914-08-10,Drama,54,None,A black and white silent film based on Harriet Beecher Stowe's novel documenting the life and times of Uncle Tom.,4,
4766,The Virginian,1914,1914-09-07,Western,55,English,"A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice.",12,
4825,The Wishing Ring: An Idyll of Old England,1914,1914-11-09,"Comedy, Drama",54,English,"After being expelled from college, Giles runs away from home and meets a young lady who he falls for.",6,2
4838,The Wrath of the Gods,1914,1914-06-08,"Drama, Romance",56,English,An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her.,5,2
4872,Alias Jimmy Valentine,1915,1915-02-22,"Crime, Drama",65,English,"After robbing a bank, a criminal is wrongfully pardoned from prison.",4,3
4873,Alice in Wonderland,1915,1915-01-19,"Adventure, Family, Fantasy",52,English,Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.,11,8
4972,The Birth of a Nation,1915,1915-03-21,"Drama, History, War",195,None,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",368,97
5060,Carmen,1915,1915-10-31,Drama,59,English,"In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.",20,8
5078,The Cheat,1915,1915-12-13,"Drama, Romance",59,English,"A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.",38,19